NSWNONMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 612 , $ 612 , $ 627 , $ 655 , $ 694 , $ 753 , $ 840 , $ 915 , $ 996 ," $ 1,044 "," $ 1,108 "," $ 1,222 "," $ 1,392 "," $ 1,413 "," $ 1,413 "
 2, 1, $ 706 , $ 706 , $ 706 , $ 734 , $ 773 , $ 832 , $ 919 , $ 994 ," $ 1,075 "," $ 1,122 "," $ 1,187 "," $ 1,300 "," $ 1,470 "," $ 1,491 "," $ 1,491 "
 2, 2, $ 786 , $ 786 , $ 786 , $ 814 , $ 854 , $ 913 ," $ 1,000 "," $ 1,075 "," $ 1,157 "," $ 1,204 "," $ 1,269 "," $ 1,383 "," $ 1,554 "," $ 1,576 "," $ 1,576 "
 2, 3, $ 882 , $ 882 , $ 882 , $ 882 , $ 921 , $ 981 ," $ 1,068 "," $ 1,142 "," $ 1,223 "," $ 1,271 "," $ 1,335 "," $ 1,449 "," $ 1,619 "," $ 1,640 "," $ 1,640 "
 2, 4, $ 978 , $ 978 , $ 978 , $ 950 , $ 989 ," $ 1,048 "," $ 1,135 "," $ 1,209 "," $ 1,290 "," $ 1,337 "," $ 1,401 "," $ 1,515 "," $ 1,684 "," $ 1,705 "," $ 1,705 "
 2, 5," $ 1,074 "," $ 1,074 "," $ 1,074 "," $ 1,018 "," $ 1,057 "," $ 1,115 "," $ 1,202 "," $ 1,276 "," $ 1,356 "," $ 1,403 "," $ 1,468 "," $ 1,580 "," $ 1,749 "," $ 1,770 "," $ 1,770 "
 2, 6," $ 1,170 "," $ 1,170 "," $ 1,170 "," $ 1,085 "," $ 1,124 "," $ 1,183 "," $ 1,269 "," $ 1,343 "," $ 1,423 "," $ 1,470 "," $ 1,534 "," $ 1,646 "," $ 1,814 "," $ 1,835 "," $ 1,835 "
 2, 7," $ 1,266 "," $ 1,266 "," $ 1,266 "," $ 1,153 "," $ 1,192 "," $ 1,250 "," $ 1,336 "," $ 1,409 "," $ 1,489 "," $ 1,536 "," $ 1,600 "," $ 1,711 "," $ 1,879 "," $ 1,900 "," $ 1,900 "
 2, 8," $ 1,362 "," $ 1,362 "," $ 1,362 "," $ 1,221 "," $ 1,260 "," $ 1,318 "," $ 1,403 "," $ 1,476 "," $ 1,556 "," $ 1,602 "," $ 1,666 "," $ 1,777 "," $ 1,944 "," $ 1,965 "," $ 1,965 "
 2, 9," $ 1,459 "," $ 1,459 "," $ 1,459 "," $ 1,289 "," $ 1,327 "," $ 1,385 "," $ 1,470 "," $ 1,543 "," $ 1,622 "," $ 1,669 "," $ 1,732 "," $ 1,843 "," $ 2,009 "," $ 2,030 "," $ 2,030 "
 2, 10," $ 1,555 "," $ 1,555 "," $ 1,555 "," $ 1,357 "," $ 1,395 "," $ 1,453 "," $ 1,537 "," $ 1,610 "," $ 1,689 "," $ 1,735 "," $ 1,798 "," $ 1,908 "," $ 2,074 "," $ 2,095 "," $ 2,095 "
 1, 0, $ 324 , $ 341 , $ 355 , $ 383 , $ 423 , $ 482 , $ 569 , $ 644 , $ 725 , $ 772 , $ 837 , $ 951 ," $ 1,121 "," $ 1,142 "," $ 1,142 "
 1, 1, $ 444 , $ 444 , $ 459 , $ 488 , $ 528 , $ 588 , $ 677 , $ 753 , $ 836 , $ 884 , $ 950 ," $ 1,066 "," $ 1,240 "," $ 1,262 "," $ 1,262 "
 1, 2, $ 557 , $ 557 , $ 572 , $ 601 , $ 641 , $ 701 , $ 789 , $ 865 , $ 947 , $ 995 ," $ 1,061 "," $ 1,177 "," $ 1,349 "," $ 1,371 "," $ 1,371 "
 1, 3, $ 685 , $ 685 , $ 685 , $ 714 , $ 754 , $ 813 , $ 901 , $ 977 ," $ 1,059 "," $ 1,107 "," $ 1,172 "," $ 1,287 "," $ 1,459 "," $ 1,480 "," $ 1,480 "
 1, 4, $ 813 , $ 813 , $ 798 , $ 827 , $ 866 , $ 926 ," $ 1,013 "," $ 1,088 "," $ 1,170 "," $ 1,218 "," $ 1,283 "," $ 1,397 "," $ 1,569 "," $ 1,590 "," $ 1,590 "
 1, 5, $ 941 , $ 941 , $ 911 , $ 940 , $ 979 ," $ 1,038 "," $ 1,126 "," $ 1,200 "," $ 1,282 "," $ 1,329 "," $ 1,394 "," $ 1,508 "," $ 1,678 "," $ 1,699 "," $ 1,699 "
 1, 6," $ 1,069 "," $ 1,069 "," $ 1,025 "," $ 1,053 "," $ 1,092 "," $ 1,151 "," $ 1,238 "," $ 1,312 "," $ 1,393 "," $ 1,440 "," $ 1,505 "," $ 1,618 "," $ 1,788 "," $ 1,809 "," $ 1,809 "
 1, 7," $ 1,197 "," $ 1,197 "," $ 1,138 "," $ 1,166 "," $ 1,205 "," $ 1,264 "," $ 1,350 "," $ 1,424 "," $ 1,504 "," $ 1,551 "," $ 1,616 "," $ 1,728 "," $ 1,897 "," $ 1,918 "," $ 1,918 "
 1, 8," $ 1,325 "," $ 1,325 "," $ 1,251 "," $ 1,279 "," $ 1,318 "," $ 1,376 "," $ 1,462 "," $ 1,536 "," $ 1,616 "," $ 1,663 "," $ 1,727 "," $ 1,839 "," $ 2,007 "," $ 2,028 "," $ 2,028 "
