NTALL,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 627 , $ 627 , $ 641 , $ 670 , $ 709 , $ 768 , $ 855 , $ 930 ," $ 1,011 "," $ 1,058 "," $ 1,123 "," $ 1,237 "," $ 1,407 "," $ 1,428 "," $ 1,428 "
 2, 1, $ 721 , $ 721 , $ 721 , $ 749 , $ 788 , $ 847 , $ 934 ," $ 1,008 "," $ 1,089 "," $ 1,137 "," $ 1,201 "," $ 1,315 "," $ 1,484 "," $ 1,506 "," $ 1,506 "
 2, 2, $ 801 , $ 801 , $ 801 , $ 829 , $ 869 , $ 928 ," $ 1,015 "," $ 1,090 "," $ 1,172 "," $ 1,219 "," $ 1,284 "," $ 1,398 "," $ 1,569 "," $ 1,590 "," $ 1,590 "
 2, 3, $ 897 , $ 897 , $ 897 , $ 897 , $ 936 , $ 995 ," $ 1,082 "," $ 1,157 "," $ 1,238 "," $ 1,285 "," $ 1,350 "," $ 1,464 "," $ 1,634 "," $ 1,655 "," $ 1,655 "
 2, 4, $ 993 , $ 993 , $ 993 , $ 964 ," $ 1,004 "," $ 1,063 "," $ 1,149 "," $ 1,224 "," $ 1,304 "," $ 1,352 "," $ 1,416 "," $ 1,529 "," $ 1,699 "," $ 1,720 "," $ 1,720 "
 2, 5," $ 1,089 "," $ 1,089 "," $ 1,089 "," $ 1,032 "," $ 1,071 "," $ 1,130 "," $ 1,216 "," $ 1,290 "," $ 1,371 "," $ 1,418 "," $ 1,482 "," $ 1,595 "," $ 1,764 "," $ 1,785 "," $ 1,785 "
 2, 6," $ 1,185 "," $ 1,185 "," $ 1,185 "," $ 1,100 "," $ 1,139 "," $ 1,197 "," $ 1,283 "," $ 1,357 "," $ 1,437 "," $ 1,484 "," $ 1,548 "," $ 1,660 "," $ 1,829 "," $ 1,850 "," $ 1,850 "
 2, 7," $ 1,281 "," $ 1,281 "," $ 1,281 "," $ 1,168 "," $ 1,207 "," $ 1,265 "," $ 1,350 "," $ 1,424 "," $ 1,504 "," $ 1,550 "," $ 1,614 "," $ 1,726 "," $ 1,894 "," $ 1,914 "," $ 1,914 "
 2, 8," $ 1,377 "," $ 1,377 "," $ 1,377 "," $ 1,236 "," $ 1,274 "," $ 1,332 "," $ 1,417 "," $ 1,491 "," $ 1,570 "," $ 1,617 "," $ 1,680 "," $ 1,792 "," $ 1,958 "," $ 1,979 "," $ 1,979 "
 2, 9," $ 1,473 "," $ 1,473 "," $ 1,473 "," $ 1,303 "," $ 1,342 "," $ 1,400 "," $ 1,485 "," $ 1,557 "," $ 1,637 "," $ 1,683 "," $ 1,746 "," $ 1,857 "," $ 2,023 "," $ 2,044 "," $ 2,044 "
 2, 10," $ 1,569 "," $ 1,569 "," $ 1,569 "," $ 1,371 "," $ 1,409 "," $ 1,467 "," $ 1,552 "," $ 1,624 "," $ 1,703 "," $ 1,749 "," $ 1,812 "," $ 1,923 "," $ 2,088 "," $ 2,109 "," $ 2,109 "
