QLDNONMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 614 , $ 614 , $ 629 , $ 657 , $ 696 , $ 756 , $ 843 , $ 917 , $ 998 ," $ 1,046 "," $ 1,110 "," $ 1,224 "," $ 1,394 "," $ 1,416 "," $ 1,416 "
 2, 1, $ 708 , $ 708 , $ 708 , $ 736 , $ 776 , $ 835 , $ 921 , $ 996 ," $ 1,077 "," $ 1,124 "," $ 1,189 "," $ 1,302 "," $ 1,472 "," $ 1,493 "," $ 1,493 "
 2, 2, $ 788 , $ 788 , $ 788 , $ 816 , $ 856 , $ 915 ," $ 1,002 "," $ 1,077 "," $ 1,159 "," $ 1,206 "," $ 1,271 "," $ 1,385 "," $ 1,556 "," $ 1,578 "," $ 1,578 "
 2, 3, $ 884 , $ 884 , $ 884 , $ 884 , $ 923 , $ 983 ," $ 1,070 "," $ 1,144 "," $ 1,225 "," $ 1,273 "," $ 1,337 "," $ 1,451 "," $ 1,621 "," $ 1,642 "," $ 1,642 "
 2, 4, $ 980 , $ 980 , $ 980 , $ 952 , $ 991 ," $ 1,050 "," $ 1,137 "," $ 1,211 "," $ 1,292 "," $ 1,339 "," $ 1,404 "," $ 1,517 "," $ 1,686 "," $ 1,707 "," $ 1,707 "
 2, 5," $ 1,076 "," $ 1,076 "," $ 1,076 "," $ 1,020 "," $ 1,059 "," $ 1,118 "," $ 1,204 "," $ 1,278 "," $ 1,358 "," $ 1,405 "," $ 1,470 "," $ 1,582 "," $ 1,751 "," $ 1,772 "," $ 1,772 "
 2, 6," $ 1,172 "," $ 1,172 "," $ 1,172 "," $ 1,087 "," $ 1,126 "," $ 1,185 "," $ 1,271 "," $ 1,345 "," $ 1,425 "," $ 1,472 "," $ 1,536 "," $ 1,648 "," $ 1,816 "," $ 1,837 "," $ 1,837 "
 2, 7," $ 1,268 "," $ 1,268 "," $ 1,268 "," $ 1,155 "," $ 1,194 "," $ 1,252 "," $ 1,338 "," $ 1,411 "," $ 1,491 "," $ 1,538 "," $ 1,602 "," $ 1,713 "," $ 1,881 "," $ 1,902 "," $ 1,902 "
 2, 8," $ 1,364 "," $ 1,364 "," $ 1,364 "," $ 1,223 "," $ 1,262 "," $ 1,320 "," $ 1,405 "," $ 1,478 "," $ 1,558 "," $ 1,604 "," $ 1,668 "," $ 1,779 "," $ 1,946 "," $ 1,967 "," $ 1,967 "
 2, 9," $ 1,461 "," $ 1,461 "," $ 1,461 "," $ 1,291 "," $ 1,329 "," $ 1,387 "," $ 1,472 "," $ 1,545 "," $ 1,624 "," $ 1,671 "," $ 1,734 "," $ 1,845 "," $ 2,011 "," $ 2,032 "," $ 2,032 "
 2, 10," $ 1,557 "," $ 1,557 "," $ 1,557 "," $ 1,359 "," $ 1,397 "," $ 1,455 "," $ 1,539 "," $ 1,612 "," $ 1,691 "," $ 1,737 "," $ 1,800 "," $ 1,910 "," $ 2,076 "," $ 2,097 "," $ 2,097 "
 1, 0, $ 326 , $ 343 , $ 357 , $ 386 , $ 425 , $ 484 , $ 571 , $ 646 , $ 727 , $ 774 , $ 839 , $ 953 ," $ 1,123 "," $ 1,144 "," $ 1,144 "
 1, 1, $ 446 , $ 446 , $ 461 , $ 490 , $ 530 , $ 590 , $ 679 , $ 755 , $ 838 , $ 886 , $ 952 ," $ 1,068 "," $ 1,242 "," $ 1,264 "," $ 1,264 "
 1, 2, $ 559 , $ 559 , $ 574 , $ 603 , $ 643 , $ 703 , $ 791 , $ 867 , $ 949 , $ 997 ," $ 1,063 "," $ 1,179 "," $ 1,352 "," $ 1,373 "," $ 1,373 "
 1, 3, $ 687 , $ 687 , $ 687 , $ 716 , $ 756 , $ 815 , $ 903 , $ 979 ," $ 1,061 "," $ 1,109 "," $ 1,174 "," $ 1,289 "," $ 1,461 "," $ 1,483 "," $ 1,483 "
 1, 4, $ 815 , $ 815 , $ 800 , $ 829 , $ 868 , $ 928 ," $ 1,015 "," $ 1,091 "," $ 1,172 "," $ 1,220 "," $ 1,285 "," $ 1,399 "," $ 1,571 "," $ 1,592 "," $ 1,592 "
 1, 5, $ 943 , $ 943 , $ 914 , $ 942 , $ 981 ," $ 1,041 "," $ 1,128 "," $ 1,202 "," $ 1,284 "," $ 1,331 "," $ 1,396 "," $ 1,510 "," $ 1,680 "," $ 1,701 "," $ 1,701 "
 1, 6," $ 1,071 "," $ 1,071 "," $ 1,027 "," $ 1,055 "," $ 1,094 "," $ 1,153 "," $ 1,240 "," $ 1,314 "," $ 1,395 "," $ 1,442 "," $ 1,507 "," $ 1,620 "," $ 1,790 "," $ 1,811 "," $ 1,811 "
 1, 7," $ 1,199 "," $ 1,199 "," $ 1,140 "," $ 1,168 "," $ 1,207 "," $ 1,266 "," $ 1,352 "," $ 1,426 "," $ 1,506 "," $ 1,553 "," $ 1,618 "," $ 1,730 "," $ 1,899 "," $ 1,920 "," $ 1,920 "
 1, 8," $ 1,327 "," $ 1,327 "," $ 1,253 "," $ 1,281 "," $ 1,320 "," $ 1,378 "," $ 1,464 "," $ 1,538 "," $ 1,618 "," $ 1,665 "," $ 1,729 "," $ 1,841 "," $ 2,009 "," $ 2,030 "," $ 2,030 "
 1, 9," $ 1,455 "," $ 1,455 "," $ 1,366 "," $ 1,394 "," $ 1,433 "," $ 1,491 "," $ 1,576 "," $ 1,650 "," $ 1,729 "," $ 1,776 "," $ 1,840 "," $ 1,951 "," $ 2,119 "," $ 2,139 "," $ 2,139 "
 1, 10," $ 1,583 "," $ 1,583 "," $ 1,479 "," $ 1,507 "," $ 1,545 "," $ 1,603 "," $ 1,688 "," $ 1,761 "," $ 1,841 "," $ 1,887 "," $ 1,950 "," $ 2,062 "," $ 2,228 "," $ 2,249 "," $ 2,249 "
