SAMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 625 , $ 625 , $ 640 , $ 668 , $ 707 , $ 766 , $ 853 , $ 928 ," $ 1,009 "," $ 1,056 "," $ 1,121 "," $ 1,235 "," $ 1,405 "," $ 1,426 "," $ 1,426 "
 2, 1, $ 719 , $ 719 , $ 719 , $ 747 , $ 786 , $ 845 , $ 932 ," $ 1,006 "," $ 1,087 "," $ 1,135 "," $ 1,199 "," $ 1,313 "," $ 1,483 "," $ 1,504 "," $ 1,504 "
 2, 2, $ 799 , $ 799 , $ 799 , $ 827 , $ 867 , $ 926 ," $ 1,013 "," $ 1,088 "," $ 1,170 "," $ 1,217 "," $ 1,282 "," $ 1,396 "," $ 1,567 "," $ 1,588 "," $ 1,588 "
 2, 3, $ 895 , $ 895 , $ 895 , $ 895 , $ 934 , $ 993 ," $ 1,080 "," $ 1,155 "," $ 1,236 "," $ 1,283 "," $ 1,348 "," $ 1,462 "," $ 1,632 "," $ 1,653 "," $ 1,653 "
 2, 4, $ 991 , $ 991 , $ 991 , $ 963 ," $ 1,002 "," $ 1,061 "," $ 1,147 "," $ 1,222 "," $ 1,303 "," $ 1,350 "," $ 1,414 "," $ 1,527 "," $ 1,697 "," $ 1,718 "," $ 1,718 "
 2, 5," $ 1,087 "," $ 1,087 "," $ 1,087 "," $ 1,030 "," $ 1,069 "," $ 1,128 "," $ 1,214 "," $ 1,288 "," $ 1,369 "," $ 1,416 "," $ 1,480 "," $ 1,593 "," $ 1,762 "," $ 1,783 "," $ 1,783 "
 2, 6," $ 1,183 "," $ 1,183 "," $ 1,183 "," $ 1,098 "," $ 1,137 "," $ 1,196 "," $ 1,281 "," $ 1,355 "," $ 1,435 "," $ 1,482 "," $ 1,546 "," $ 1,658 "," $ 1,827 "," $ 1,848 "," $ 1,848 "
 2, 7," $ 1,279 "," $ 1,279 "," $ 1,279 "," $ 1,166 "," $ 1,205 "," $ 1,263 "," $ 1,349 "," $ 1,422 "," $ 1,502 "," $ 1,548 "," $ 1,612 "," $ 1,724 "," $ 1,892 "," $ 1,913 "," $ 1,913 "
 2, 8," $ 1,375 "," $ 1,375 "," $ 1,375 "," $ 1,234 "," $ 1,272 "," $ 1,330 "," $ 1,416 "," $ 1,489 "," $ 1,568 "," $ 1,615 "," $ 1,678 "," $ 1,790 "," $ 1,957 "," $ 1,977 "," $ 1,977 "
 2, 9," $ 1,471 "," $ 1,471 "," $ 1,471 "," $ 1,301 "," $ 1,340 "," $ 1,398 "," $ 1,483 "," $ 1,556 "," $ 1,635 "," $ 1,681 "," $ 1,744 "," $ 1,855 "," $ 2,021 "," $ 2,042 "," $ 2,042 "
 2, 10," $ 1,567 "," $ 1,567 "," $ 1,567 "," $ 1,369 "," $ 1,408 "," $ 1,465 "," $ 1,550 "," $ 1,622 "," $ 1,701 "," $ 1,747 "," $ 1,810 "," $ 1,921 "," $ 2,086 "," $ 2,107 "," $ 2,107 "
 1, 0, $ 337 , $ 354 , $ 368 , $ 396 , $ 436 , $ 495 , $ 582 , $ 656 , $ 738 , $ 785 , $ 850 , $ 963 ," $ 1,134 "," $ 1,155 "," $ 1,155 "
 1, 1, $ 457 , $ 457 , $ 472 , $ 501 , $ 541 , $ 601 , $ 690 , $ 766 , $ 849 , $ 897 , $ 963 ," $ 1,079 "," $ 1,253 "," $ 1,275 "," $ 1,275 "
 1, 2, $ 570 , $ 570 , $ 585 , $ 614 , $ 654 , $ 714 , $ 802 , $ 878 , $ 960 ," $ 1,008 "," $ 1,074 "," $ 1,190 "," $ 1,362 "," $ 1,384 "," $ 1,384 "
 1, 3, $ 698 , $ 698 , $ 698 , $ 727 , $ 766 , $ 826 , $ 914 , $ 990 ," $ 1,072 "," $ 1,120 "," $ 1,185 "," $ 1,300 "," $ 1,472 "," $ 1,493 "," $ 1,493 "
 1, 4, $ 826 , $ 826 , $ 811 , $ 840 , $ 879 , $ 939 ," $ 1,026 "," $ 1,101 "," $ 1,183 "," $ 1,231 "," $ 1,296 "," $ 1,410 "," $ 1,581 "," $ 1,603 "," $ 1,603 "
 1, 5, $ 954 , $ 954 , $ 924 , $ 953 , $ 992 ," $ 1,051 "," $ 1,138 "," $ 1,213 "," $ 1,294 "," $ 1,342 "," $ 1,407 "," $ 1,520 "," $ 1,691 "," $ 1,712 "," $ 1,712 "
 1, 6," $ 1,082 "," $ 1,082 "," $ 1,037 "," $ 1,065 "," $ 1,105 "," $ 1,164 "," $ 1,250 "," $ 1,325 "," $ 1,406 "," $ 1,453 "," $ 1,518 "," $ 1,631 "," $ 1,801 "," $ 1,822 "," $ 1,822 "
 1, 7," $ 1,210 "," $ 1,210 "," $ 1,151 "," $ 1,178 "," $ 1,218 "," $ 1,276 "," $ 1,363 "," $ 1,437 "," $ 1,517 "," $ 1,564 "," $ 1,628 "," $ 1,741 "," $ 1,910 "," $ 1,931 "," $ 1,931 "
 1, 8," $ 1,337 "," $ 1,337 "," $ 1,264 "," $ 1,291 "," $ 1,330 "," $ 1,389 "," $ 1,475 "," $ 1,548 "," $ 1,628 "," $ 1,675 "," $ 1,739 "," $ 1,851 "," $ 2,020 "," $ 2,041 "," $ 2,041 "
 1, 9," $ 1,465 "," $ 1,465 "," $ 1,377 "," $ 1,404 "," $ 1,443 "," $ 1,501 "," $ 1,587 "," $ 1,660 "," $ 1,740 "," $ 1,786 "," $ 1,850 "," $ 1,962 "," $ 2,129 "," $ 2,150 "," $ 2,150 "
 1, 10," $ 1,593 "," $ 1,593 "," $ 1,490 "," $ 1,517 "," $ 1,556 "," $ 1,614 "," $ 1,699 "," $ 1,772 "," $ 1,851 "," $ 1,898 "," $ 1,961 "," $ 2,072 "," $ 2,239 "," $ 2,259 "," $ 2,259 "
