SANONMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 577 , $ 577 , $ 591 , $ 619 , $ 659 , $ 718 , $ 805 , $ 880 , $ 961 ," $ 1,008 "," $ 1,073 "," $ 1,187 "," $ 1,357 "," $ 1,378 "," $ 1,378 "
 2, 1, $ 671 , $ 671 , $ 671 , $ 699 , $ 738 , $ 797 , $ 884 , $ 958 ," $ 1,039 "," $ 1,087 "," $ 1,151 "," $ 1,265 "," $ 1,434 "," $ 1,456 "," $ 1,456 "
 2, 2, $ 750 , $ 750 , $ 750 , $ 779 , $ 818 , $ 878 , $ 965 ," $ 1,040 "," $ 1,121 "," $ 1,169 "," $ 1,234 "," $ 1,348 "," $ 1,519 "," $ 1,540 "," $ 1,540 "
 2, 3, $ 847 , $ 847 , $ 847 , $ 847 , $ 886 , $ 945 ," $ 1,032 "," $ 1,107 "," $ 1,188 "," $ 1,235 "," $ 1,300 "," $ 1,414 "," $ 1,584 "," $ 1,605 "," $ 1,605 "
 2, 4, $ 943 , $ 943 , $ 943 , $ 915 , $ 954 ," $ 1,013 "," $ 1,099 "," $ 1,174 "," $ 1,255 "," $ 1,302 "," $ 1,366 "," $ 1,479 "," $ 1,649 "," $ 1,670 "," $ 1,670 "
 2, 5," $ 1,039 "," $ 1,039 "," $ 1,039 ", $ 983 ," $ 1,022 "," $ 1,080 "," $ 1,167 "," $ 1,241 "," $ 1,321 "," $ 1,368 "," $ 1,432 "," $ 1,545 "," $ 1,714 "," $ 1,735 "," $ 1,735 "
 2, 6," $ 1,135 "," $ 1,135 "," $ 1,135 "," $ 1,050 "," $ 1,089 "," $ 1,148 "," $ 1,234 "," $ 1,308 "," $ 1,388 "," $ 1,435 "," $ 1,499 "," $ 1,611 "," $ 1,779 "," $ 1,800 "," $ 1,800 "
 2, 7," $ 1,232 "," $ 1,232 "," $ 1,232 "," $ 1,118 "," $ 1,157 "," $ 1,216 "," $ 1,301 "," $ 1,375 "," $ 1,454 "," $ 1,501 "," $ 1,565 "," $ 1,677 "," $ 1,844 "," $ 1,865 "," $ 1,865 "
 2, 8," $ 1,328 "," $ 1,328 "," $ 1,328 "," $ 1,186 "," $ 1,225 "," $ 1,283 "," $ 1,368 "," $ 1,441 "," $ 1,521 "," $ 1,568 "," $ 1,631 "," $ 1,742 "," $ 1,909 "," $ 1,930 "," $ 1,930 "
 2, 9," $ 1,424 "," $ 1,424 "," $ 1,424 "," $ 1,254 "," $ 1,293 "," $ 1,351 "," $ 1,436 "," $ 1,508 "," $ 1,588 "," $ 1,634 "," $ 1,697 "," $ 1,808 "," $ 1,974 "," $ 1,995 "," $ 1,995 "
