TASMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 601 , $ 601 , $ 615 , $ 643 , $ 683 , $ 742 , $ 829 , $ 904 , $ 985 ," $ 1,032 "," $ 1,097 "," $ 1,211 "," $ 1,381 "," $ 1,402 "," $ 1,402 "
 2, 1, $ 695 , $ 695 , $ 695 , $ 723 , $ 762 , $ 821 , $ 908 , $ 982 ," $ 1,063 "," $ 1,110 "," $ 1,175 "," $ 1,288 "," $ 1,458 "," $ 1,479 "," $ 1,479 "
 2, 2, $ 774 , $ 774 , $ 774 , $ 803 , $ 842 , $ 902 , $ 989 ," $ 1,064 "," $ 1,145 "," $ 1,193 "," $ 1,258 "," $ 1,372 "," $ 1,543 "," $ 1,564 "," $ 1,564 "
 2, 3, $ 871 , $ 871 , $ 871 , $ 871 , $ 910 , $ 969 ," $ 1,056 "," $ 1,131 "," $ 1,212 "," $ 1,259 "," $ 1,324 "," $ 1,438 "," $ 1,608 "," $ 1,629 "," $ 1,629 "
 2, 4, $ 967 , $ 967 , $ 967 , $ 938 , $ 978 ," $ 1,037 "," $ 1,123 "," $ 1,198 "," $ 1,278 "," $ 1,326 "," $ 1,390 "," $ 1,503 "," $ 1,673 "," $ 1,694 "," $ 1,694 "
 2, 5," $ 1,063 "," $ 1,063 "," $ 1,063 "," $ 1,006 "," $ 1,045 "," $ 1,104 "," $ 1,190 "," $ 1,264 "," $ 1,345 "," $ 1,392 "," $ 1,456 "," $ 1,569 "," $ 1,738 "," $ 1,759 "," $ 1,759 "
 2, 6," $ 1,159 "," $ 1,159 "," $ 1,159 "," $ 1,074 "," $ 1,113 "," $ 1,172 "," $ 1,258 "," $ 1,331 "," $ 1,411 "," $ 1,458 "," $ 1,522 "," $ 1,635 "," $ 1,803 "," $ 1,824 "," $ 1,824 "
 2, 7," $ 1,255 "," $ 1,255 "," $ 1,255 "," $ 1,142 "," $ 1,181 "," $ 1,239 "," $ 1,325 "," $ 1,398 "," $ 1,478 "," $ 1,525 "," $ 1,588 "," $ 1,700 "," $ 1,868 "," $ 1,889 "," $ 1,889 "
 2, 8," $ 1,351 "," $ 1,351 "," $ 1,351 "," $ 1,210 "," $ 1,249 "," $ 1,307 "," $ 1,392 "," $ 1,465 "," $ 1,545 "," $ 1,591 "," $ 1,654 "," $ 1,766 "," $ 1,933 "," $ 1,954 "," $ 1,954 "
 2, 9," $ 1,447 "," $ 1,447 "," $ 1,447 "," $ 1,278 "," $ 1,316 "," $ 1,374 "," $ 1,459 "," $ 1,532 "," $ 1,611 "," $ 1,657 "," $ 1,721 "," $ 1,832 "," $ 1,998 "," $ 2,018 "," $ 2,018 "
