WAMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 541 , $ 541 , $ 556 , $ 584 , $ 623 , $ 683 , $ 770 , $ 844 , $ 925 , $ 973 ," $ 1,038 "," $ 1,151 "," $ 1,321 "," $ 1,343 "," $ 1,343 "
 2, 1, $ 635 , $ 635 , $ 635 , $ 663 , $ 703 , $ 762 , $ 849 , $ 923 ," $ 1,004 "," $ 1,051 "," $ 1,116 "," $ 1,229 "," $ 1,399 "," $ 1,420 "," $ 1,420 "
 2, 2, $ 715 , $ 715 , $ 715 , $ 743 , $ 783 , $ 842 , $ 929 ," $ 1,004 "," $ 1,086 "," $ 1,133 "," $ 1,198 "," $ 1,312 "," $ 1,483 "," $ 1,504 "," $ 1,504 "
 2, 3, $ 811 , $ 811 , $ 811 , $ 811 , $ 851 , $ 910 , $ 997 ," $ 1,071 "," $ 1,152 "," $ 1,200 "," $ 1,265 "," $ 1,378 "," $ 1,548 "," $ 1,570 "," $ 1,570 "
 2, 4, $ 907 , $ 907 , $ 907 , $ 879 , $ 919 , $ 977 ," $ 1,064 "," $ 1,138 "," $ 1,219 "," $ 1,266 "," $ 1,331 "," $ 1,444 "," $ 1,614 "," $ 1,635 "," $ 1,635 "
 2, 5," $ 1,004 "," $ 1,004 "," $ 1,004 ", $ 947 , $ 986 ," $ 1,045 "," $ 1,131 "," $ 1,205 "," $ 1,286 "," $ 1,333 "," $ 1,397 "," $ 1,510 "," $ 1,679 "," $ 1,700 "," $ 1,700 "
 2, 6," $ 1,100 "," $ 1,100 "," $ 1,100 "," $ 1,015 "," $ 1,054 "," $ 1,113 "," $ 1,199 "," $ 1,273 "," $ 1,353 "," $ 1,400 "," $ 1,464 "," $ 1,576 "," $ 1,744 "," $ 1,765 "," $ 1,765 "
 2, 7," $ 1,197 "," $ 1,197 "," $ 1,197 "," $ 1,084 "," $ 1,122 "," $ 1,181 "," $ 1,266 "," $ 1,340 "," $ 1,420 "," $ 1,466 "," $ 1,530 "," $ 1,642 "," $ 1,809 "," $ 1,830 "," $ 1,830 "
 2, 8," $ 1,293 "," $ 1,293 "," $ 1,293 "," $ 1,152 "," $ 1,190 "," $ 1,248 "," $ 1,334 "," $ 1,407 "," $ 1,486 "," $ 1,533 "," $ 1,596 "," $ 1,708 "," $ 1,875 "," $ 1,895 "," $ 1,895 "
 2, 9," $ 1,389 "," $ 1,389 "," $ 1,389 "," $ 1,220 "," $ 1,258 "," $ 1,316 "," $ 1,401 "," $ 1,474 "," $ 1,553 "," $ 1,599 "," $ 1,663 "," $ 1,774 "," $ 1,940 "," $ 1,960 "," $ 1,960 "
 2, 10," $ 1,486 "," $ 1,486 "," $ 1,486 "," $ 1,288 "," $ 1,326 "," $ 1,384 "," $ 1,468 "," $ 1,541 "," $ 1,620 "," $ 1,666 "," $ 1,729 "," $ 1,839 "," $ 2,005 "," $ 2,026 "," $ 2,026 "
 1, 0, $ 253 , $ 270 , $ 284 , $ 313 , $ 352 , $ 411 , $ 498 , $ 573 , $ 654 , $ 701 , $ 766 , $ 880 ," $ 1,050 "," $ 1,071 "," $ 1,071 "
 1, 1, $ 372 , $ 372 , $ 387 , $ 415 , $ 456 , $ 516 , $ 605 , $ 681 , $ 764 , $ 812 , $ 878 , $ 994 ," $ 1,168 "," $ 1,189 "," $ 1,189 "
