WANONMETRO,NO OF DEPENDENTS,$0,"$26,000","$39,000","$52,000","$64,000","$77,000","$103,000","$129,000","$155,000","$180,000","$206,000","$258,000","$322,000","$386,000","$644,000"
 2, 0, $ 594 , $ 594 , $ 608 , $ 636 , $ 676 , $ 735 , $ 822 , $ 896 , $ 978 ," $ 1,025 "," $ 1,090 "," $ 1,203 "," $ 1,374 "," $ 1,395 "," $ 1,395 "
 2, 1, $ 687 , $ 687 , $ 687 , $ 716 , $ 755 , $ 814 , $ 901 , $ 975 ," $ 1,056 "," $ 1,103 "," $ 1,168 "," $ 1,281 "," $ 1,451 "," $ 1,472 "," $ 1,472 "
 2, 2, $ 767 , $ 767 , $ 767 , $ 795 , $ 835 , $ 894 , $ 982 ," $ 1,057 "," $ 1,138 "," $ 1,186 "," $ 1,251 "," $ 1,365 "," $ 1,536 "," $ 1,557 "," $ 1,557 "
 2, 3, $ 863 , $ 863 , $ 863 , $ 863 , $ 903 , $ 962 ," $ 1,049 "," $ 1,124 "," $ 1,205 "," $ 1,252 "," $ 1,317 "," $ 1,430 "," $ 1,601 "," $ 1,622 "," $ 1,622 "
 2, 4, $ 960 , $ 960 , $ 960 , $ 931 , $ 971 ," $ 1,030 "," $ 1,116 "," $ 1,190 "," $ 1,271 "," $ 1,318 "," $ 1,383 "," $ 1,496 "," $ 1,666 "," $ 1,687 "," $ 1,687 "
 2, 5," $ 1,056 "," $ 1,056 "," $ 1,056 ", $ 999 ," $ 1,038 "," $ 1,097 "," $ 1,183 "," $ 1,257 "," $ 1,338 "," $ 1,385 "," $ 1,449 "," $ 1,562 "," $ 1,731 "," $ 1,752 "," $ 1,752 "
 2, 6," $ 1,152 "," $ 1,152 "," $ 1,152 "," $ 1,067 "," $ 1,106 "," $ 1,165 "," $ 1,250 "," $ 1,324 "," $ 1,404 "," $ 1,451 "," $ 1,515 "," $ 1,627 "," $ 1,796 "," $ 1,817 "," $ 1,817 "
 2, 7," $ 1,248 "," $ 1,248 "," $ 1,248 "," $ 1,135 "," $ 1,174 "," $ 1,232 "," $ 1,318 "," $ 1,391 "," $ 1,471 "," $ 1,518 "," $ 1,581 "," $ 1,693 "," $ 1,861 "," $ 1,882 "," $ 1,882 "
 2, 8," $ 1,344 "," $ 1,344 "," $ 1,344 "," $ 1,203 "," $ 1,242 "," $ 1,300 "," $ 1,385 "," $ 1,458 "," $ 1,538 "," $ 1,584 "," $ 1,647 "," $ 1,759 "," $ 1,926 "," $ 1,947 "," $ 1,947 "
 2, 9," $ 1,440 "," $ 1,440 "," $ 1,440 "," $ 1,271 "," $ 1,309 "," $ 1,367 "," $ 1,452 "," $ 1,525 "," $ 1,604 "," $ 1,650 "," $ 1,714 "," $ 1,825 "," $ 1,991 "," $ 2,012 "," $ 2,012 "
 2, 10," $ 1,537 "," $ 1,537 "," $ 1,537 "," $ 1,339 "," $ 1,377 "," $ 1,435 "," $ 1,519 "," $ 1,592 "," $ 1,671 "," $ 1,717 "," $ 1,780 "," $ 1,890 "," $ 2,056 "," $ 2,076 "," $ 2,076 "
 1, 0, $ 306 , $ 322 , $ 337 , $ 365 , $ 404 , $ 463 , $ 550 , $ 625 , $ 706 , $ 754 , $ 818 , $ 932 ," $ 1,102 "," $ 1,123 "," $ 1,123 "
 1, 1, $ 425 , $ 425 , $ 440 , $ 469 , $ 509 , $ 569 , $ 658 , $ 734 , $ 817 , $ 865 , $ 931 ," $ 1,047 "," $ 1,221 "," $ 1,243 "," $ 1,243 "
 1, 2, $ 538 , $ 538 , $ 553 , $ 582 , $ 622 , $ 682 , $ 770 , $ 846 , $ 928 , $ 977 ," $ 1,042 "," $ 1,158 "," $ 1,331 "," $ 1,352 "," $ 1,352 "
 1, 3, $ 666 , $ 666 , $ 666 , $ 695 , $ 735 , $ 795 , $ 882 , $ 958 ," $ 1,040 "," $ 1,088 "," $ 1,153 "," $ 1,268 "," $ 1,440 "," $ 1,462 "," $ 1,462 "
 1, 4, $ 794 , $ 794 , $ 780 , $ 808 , $ 848 , $ 907 , $ 995 ," $ 1,070 "," $ 1,151 "," $ 1,199 "," $ 1,264 "," $ 1,379 "," $ 1,550 "," $ 1,571 "," $ 1,571 "
 1, 5, $ 922 , $ 922 , $ 893 , $ 921 , $ 961 ," $ 1,020 "," $ 1,107 "," $ 1,182 "," $ 1,263 "," $ 1,310 "," $ 1,375 "," $ 1,489 "," $ 1,660 "," $ 1,681 "," $ 1,681 "
 1, 6," $ 1,050 "," $ 1,050 "," $ 1,006 "," $ 1,034 "," $ 1,074 "," $ 1,133 "," $ 1,219 "," $ 1,294 "," $ 1,374 "," $ 1,422 "," $ 1,486 "," $ 1,600 "," $ 1,769 "," $ 1,790 "," $ 1,790 "
